"exper","male","school","wage"
9,0,13,6.31529569625854
12,0,12,5.47977018356323
11,0,11,3.64216995239258
9,0,14,4.59333658218384
8,0,14,2.41815757751465
9,0,14,2.0940580368042
8,0,12,5.51200389862061
10,0,12,3.54842710494995
12,0,10,5.81822633743286
7,0,12,3.8277804851532
10,0,14,6.73689365386963
10,0,13,12.8613424301147
10,0,13,7.6555609703064
9,0,10,2.44977951049805
10,0,13,6.10566234588623
3,0,15,8.26800632476807
9,0,14,1.86240553855896
13,0,11,3.98089170455933
10,0,12,4.76346015930176
11,0,12,6.38059568405151
8,0,14,5.6311240196228
7,0,11,2.48805737495422
7,0,14,1.22373831272125
5,0,12,1.34565353393555
5,0,14,0.751111626625061
10,0,14,11.3302307128906
11,0,12,3.89475774765015
6,0,13,2.99851536750793
11,0,12,3.26789617538452
9,0,12,1.3551971912384
10,0,14,4.28711414337158
11,0,12,7.62493896484375
11,0,13,4.44378614425659
5,0,12,1.13428151607513
5,0,15,9.06418418884277
12,0,12,3.98089170455933
11,0,12,3.4507052898407
4,0,14,8.09672927856445
10,0,13,8.73521423339844
9,0,15,7.27584505081177
12,0,12,5.51200389862061
8,0,15,9.78635883331299
7,0,14,7.04311609268188
8,0,11,0.785271763801575
9,0,12,4.00872993469238
10,0,12,3.61215138435364
15,0,7,3.18471336364746
6,0,15,5.81822633743286
10,0,12,2.27479529380798
7,0,16,5.44789266586304
9,0,12,2.40355730056763
8,0,14,9.03356170654297
10,0,13,4.97409582138062
7,0,14,9.32761192321777
10,0,12,5.87344694137573
9,0,12,3.28320956230164
8,0,14,2.14355707168579
5,0,13,2.56057357788086
5,0,14,9.18667316436768
3,0,12,2.83519101142883
10,0,12,5.89761734008789
7,0,12,2.53329467773438
8,0,14,8.26800632476807
8,0,15,14.1020517349243
9,0,11,0.72932368516922
7,0,11,4.59333658218384
7,0,12,3.37772631645203
10,0,13,3.18471336364746
13,0,9,5.00741100311279
5,0,12,2.31896615028381
9,0,12,3.38799285888672
10,0,11,2.44977951049805
9,0,13,5.81822633743286
10,0,13,5.35889291763306
7,0,11,7.14328241348267
6,0,12,5.59963607788086
8,0,12,3.8277804851532
6,0,12,8.07132244110107
9,0,12,3.94391751289368
11,0,12,6.34554147720337
7,0,13,5.48361253738403
9,0,13,6.98019361495972
9,0,13,10.0470123291016
11,0,12,5.51200389862061
8,0,15,6.25568675994873
11,0,12,3.23447442054749
8,0,10,1.91832149028778
4,0,14,11.0910415649414
8,0,14,5.18441724777222
9,0,14,5.136634349823
9,0,13,4.24181938171387
7,0,12,3.90283513069153
11,0,12,6.78035736083984
9,0,12,1.02618539333344
10,0,12,4.5930643081665
11,0,8,0.438681453466415
9,0,13,7.34933853149414
8,0,12,4.59333658218384
7,0,13,4.72457456588745
6,0,13,4.81721353530884
4,0,12,8.53048229217529
7,0,14,6.19518709182739
10,0,13,4.70468997955322
10,0,12,5.08334159851074
6,0,12,5.7903881072998
7,0,16,5.1037073135376
7,0,14,6.99083423614502
9,0,12,4.3162055015564
8,0,13,7.71002721786499
5,0,12,5.71098375320435
8,0,12,1.98192977905273
6,0,12,5.81758689880371
9,0,13,3.67466926574707
7,0,13,2.7560019493103
5,0,14,4.94814968109131
9,0,12,3.98089170455933
8,0,13,4.15714502334595
10,0,12,4.74445199966431
8,0,12,6.61362218856812
6,0,13,2.73757600784302
8,0,13,5.24952745437622
8,0,12,3.98517894744873
10,0,12,7.96178340911865
7,0,13,6.11825609207153
8,0,12,3.1429922580719
7,0,13,6.12444877624512
7,0,12,4.86215782165527
8,0,10,1.80949628353119
7,0,12,2.38109421730042
10,0,12,3.67466926574707
9,0,13,6.98402070999146
9,0,13,12.2488975524902
10,0,12,7.34933853149414
6,0,12,1.97808289527893
10,0,12,3.21533560752869
6,0,12,4.72782182693481
7,0,13,8.72967147827148
10,0,12,6.65462493896484
8,0,13,4.62670230865479
4,0,11,3.06222438812256
7,0,13,5.90619564056396
9,0,12,4.47959661483765
8,0,12,3.36844682693481
10,0,12,2.80703902244568
5,0,14,7.72411823272705
7,0,13,3.69456315040588
7,0,14,6.49882841110229
8,0,13,2.38919854164124
6,0,12,4.59333658218384
8,0,12,4.59333658218384
7,0,11,4.08296585083008
4,0,12,2.45607709884644
8,0,13,7.6555609703064
5,0,14,3.16493248939514
6,0,13,4.94253778457642
7,0,12,3.67466926574707
6,0,10,2.02204012870789
10,0,12,9.79911804199219
6,0,13,7.58265066146851
8,0,13,2.99034118652344
9,0,12,4.28711414337158
6,0,11,4.59333658218384
4,0,12,1.21322417259216
6,0,12,6.12444877624512
7,0,14,7.14630842208862
8,0,11,3.3616418838501
3,0,12,2.14355707168579
6,0,12,1.95982360839844
1,0,13,4.32211112976074
8,0,12,0.102890737354755
5,0,9,2.54777073860168
8,0,12,7.96178340911865
8,0,12,6.57394981384277
7,0,11,4.28711414337158
4,0,11,3.29384469985962
6,0,12,6.91077041625977
9,0,12,4.44792366027832
5,0,11,0.77992981672287
7,0,12,4.7230920791626
8,0,12,3.93174481391907
8,0,10,1.35040855407715
6,0,13,3.53857040405273
6,0,12,2.87054777145386
6,0,11,2.48111391067505
4,0,12,4.13400316238403
9,0,12,1.53295469284058
8,0,12,2.44977951049805
6,0,11,4.46134424209595
3,0,13,4.04291391372681
7,0,11,3.36844682693481
7,0,14,5.10872507095337
8,0,11,7.25998497009277
6,0,12,8.26800632476807
9,0,12,3.21533560752869
6,0,12,4.91468095779419
6,0,12,5.63959646224976
9,0,12,4.30366659164429
9,0,12,4.59333658218384
7,0,12,2.71865773200989
7,0,12,4.40536737442017
10,0,11,2.38287568092346
7,0,12,7.96178340911865
4,0,11,4.78904247283936
8,0,12,9.60969638824463
6,0,12,0.93120276927948
8,0,11,2.82011866569519
8,0,13,3.51070761680603
9,0,12,3.98089170455933
4,0,12,5.51200389862061
7,0,12,2.94880867004395
5,0,12,4.59333658218384
7,0,10,4.47850322723389
7,0,12,3.0421142578125
3,0,12,3.57832956314087
8,0,12,5.20378017425537
2,0,12,2.61546516418457
8,0,12,2.79974794387817
3,0,12,6.54865312576294
6,0,11,4.48551177978516
9,0,11,2.6211633682251
9,0,12,7.83405447006226
8,0,13,6.27843475341797
8,0,12,4.59333658218384
4,0,13,6.43067121505737
8,0,12,5.24772548675537
7,0,12,12.5358915328979
5,0,12,2.27988433837891
5,0,14,7.6555609703064
3,0,12,4.89955902099609
9,0,11,9.83695220947266
6,0,12,7.34933853149414
7,0,11,4.46053266525269
8,0,8,1.76462268829346
9,0,11,6.58708715438843
9,0,10,3.79132533073425
7,0,11,5.81822633743286
5,0,11,9.56011486053467
4,0,10,3.1376485824585
8,0,11,4.79384851455688
5,0,10,0.518894255161285
6,0,10,2.94335794448853
6,0,11,3.39241218566895
4,0,11,6.13720798492432
4,0,12,4.38541173934937
9,0,11,3.67466926574707
6,0,12,2.81724643707275
4,0,11,3.91964721679688
7,0,11,2.92367124557495
8,0,10,6.08842277526855
3,0,10,1.70954310894012
8,0,11,9.18667316436768
2,0,11,2.52978110313416
5,0,12,4.81316900253296
4,0,11,4.01856565475464
9,0,10,3.18670511245728
5,0,11,1.56960868835449
7,0,11,3.06222438812256
4,0,11,4.89955902099609
5,0,11,5.15743064880371
7,0,10,1.7085372209549
5,0,11,5.75625991821289
5,0,11,5.74136447906494
7,0,11,9.90799713134766
3,0,10,2.37001919746399
8,0,11,4.77707004547119
8,0,11,3.36844682693481
7,0,12,7.96178340911865
4,0,11,3.00097990036011
6,0,11,4.83447933197021
8,0,10,5.0526704788208
4,0,12,6.43067121505737
6,0,11,0.76555609703064
5,0,11,5.20026969909668
5,0,10,3.48056101799011
4,0,11,0.929548323154449
8,0,10,1.87616443634033
4,0,12,4.28711414337158
7,0,13,3.75555825233459
6,0,11,3.67466926574707
7,0,11,15.9235668182373
5,0,12,5.40825653076172
5,0,12,5.136634349823
2,0,11,1.71221148967743
4,0,10,4.46076154708862
9,0,10,2.90132784843445
9,0,10,6.04452466964722
9,0,10,8.26800632476807
7,0,11,6.2856183052063
8,0,12,5.66511535644531
7,0,10,5.66511535644531
3,0,12,3.18471336364746
4,0,11,5.86143589019775
8,0,11,6.51187419891357
7,0,11,1.77775073051453
9,0,10,6.82438564300537
8,0,11,4.24628448486328
5,0,11,5.3895149230957
5,0,8,2.97850894927979
6,0,10,1.63318634033203
5,0,10,2.7560019493103
7,0,11,3.97090935707092
8,0,10,6.26054763793945
6,0,10,3.25709319114685
4,0,10,3.15513396263123
7,0,10,6.12444877624512
7,0,10,3.69389176368713
8,0,10,3.11548042297363
9,0,10,0.918667316436768
6,0,12,12.2488975524902
8,0,10,1.72847402095795
5,0,11,5.5872163772583
5,0,10,4.44378614425659
3,0,9,3.27294039726257
7,0,9,3.67466926574707
9,0,14,5.1445369720459
8,0,15,5.20864343643188
11,0,12,6.451247215271
12,0,12,4.59333658218384
11,0,12,3.89646816253662
6,0,14,5.01793050765991
10,0,14,5.75698184967041
11,0,11,0.424628436565399
9,0,15,5.09064197540283
9,0,14,5.86743497848511
11,0,12,4.60837078094482
12,0,11,4.28711414337158
9,0,10,4.4729118347168
11,0,12,7.12370109558105
7,0,15,8.5495662689209
8,0,15,10.4115629196167
6,0,14,3.03306031227112
3,0,14,5.97133779525757
13,0,11,5.44395446777344
7,0,14,2.25688338279724
9,0,13,5.66171264648438
10,0,10,2.54777073860168
11,0,12,5.90217161178589
12,0,12,2.87849092483521
11,0,12,3.71034574508667
9,0,13,7.64713573455811
10,0,13,4.48972749710083
9,0,12,4.21943378448486
9,0,14,6.12444877624512
4,0,14,3.98089170455933
13,0,11,5.11963367462158
8,0,12,3.38682007789612
8,0,13,1.65439653396606
10,0,13,8.93273258209229
7,0,12,5.136634349823
10,0,13,3.98089170455933
14,0,9,5.75261831283569
9,0,14,8.17315864562988
9,0,12,7.59326648712158
9,0,14,10.4194040298462
11,0,12,4.49126243591309
8,0,12,4.01434469223022
10,0,12,3.08964729309082
8,0,14,3.77335715293884
8,0,14,5.97133779525757
10,0,12,3.82165598869324
9,0,13,5.81822633743286
10,0,12,4.0059289932251
11,0,12,5.51200389862061
11,0,12,6.73689365386963
4,0,16,9.43618774414062
7,0,13,7.04311609268188
8,0,13,7.30657434463501
11,0,12,6.64940166473389
13,0,10,9.19930934906006
11,0,12,7.6555609703064
11,0,12,7.60721015930176
7,0,14,7.27417469024658
8,0,14,3.36844682693481
11,0,12,2.87083530426025
10,0,12,5.69623517990112
10,0,12,6.27042007446289
15,0,6,4.30366659164429
8,0,14,11.4527196884155
7,0,14,1.24890720844269
7,0,13,5.07260417938232
7,0,12,7.01478719711304
9,0,12,6.43067121505737
9,0,12,6.73689365386963
9,0,12,3.67466926574707
9,0,10,0.449606597423553
8,0,13,7.48328495025635
10,0,9,3.21485257148743
7,0,13,3.29200124740601
9,0,12,5.05932712554932
7,0,12,3.06222438812256
11,0,9,3.03306031227112
7,0,12,3.64287495613098
9,0,12,3.46164488792419
9,0,12,4.59333658218384
9,0,13,6.85938262939453
10,0,12,5.19246768951416
7,0,13,9.07236576080322
4,0,15,7.96178340911865
6,0,9,2.44977951049805
8,0,14,14.6986770629883
6,0,13,0.428711414337158
7,0,11,7.96178340911865
7,0,13,7.34933853149414
5,0,13,5.055100440979
7,0,13,5.18488073348999
12,0,9,3.63169074058533
9,0,12,4.98527860641479
9,0,11,0.076555609703064
5,0,12,0.474739879369736
8,0,13,7.09290266036987
7,0,12,2.73222279548645
9,0,12,4.02279567718506
8,0,13,4.93587636947632
9,0,10,3.67466926574707
8,0,14,3.30936622619629
8,0,12,5.3737096786499
8,0,12,4.75747203826904
6,0,10,2.66280388832092
8,0,10,5.29428052902222
9,0,12,3.26637268066406
6,0,10,4.84076452255249
5,0,11,1.18579757213593
6,0,12,4.15712690353394
6,0,12,6.73689365386963
9,0,11,2.84667110443115
5,0,10,2.7560019493103
8,0,12,3.98089170455933
7,0,11,6.03062725067139
9,0,12,5.3744945526123
12,0,8,2.14355707168579
12,0,9,4.59333658218384
7,0,12,3.36844682693481
8,0,12,5.75117540359497
10,0,8,6.14809513092041
1,0,12,2.77467775344849
8,0,11,4.7651572227478
4,0,11,2.44977951049805
9,0,12,7.0122127532959
4,0,12,8.16593170166016
6,0,9,3.54330372810364
8,0,12,2.37075448036194
8,0,11,7.73070287704468
8,0,12,3.36844682693481
8,0,12,6.12444877624512
8,0,12,4.59333658218384
9,0,9,3.74672150611877
6,0,12,5.97133779525757
7,0,11,1.88723754882812
4,0,11,1.83874905109406
10,0,9,2.60289072990417
9,0,10,3.06222438812256
9,0,11,5.8021092414856
8,0,11,7.34933853149414
5,0,8,1.48126208782196
8,0,9,4.82850408554077
8,0,11,6.49941492080688
5,0,11,3.67466926574707
9,0,11,5.72911405563354
8,0,10,6.82438564300537
6,0,11,3.24595785140991
7,0,11,4.7691216468811
9,0,11,3.46345520019531
9,0,9,5.51200389862061
9,0,11,5.89034509658813
5,0,10,3.25635313987732
5,0,10,3.86025857925415
9,0,10,4.84594202041626
5,0,12,8.09788227081299
8,0,11,4.10300493240356
3,0,10,3.36844682693481
8,0,11,4.28711414337158
4,0,12,5.27644824981689
7,0,11,4.77707004547119
7,0,9,4.87456130981445
8,0,11,3.73591375350952
7,0,10,5.81822633743286
8,0,10,4.01941108703613
8,0,11,5.68164825439453
8,0,11,7.6555609703064
7,0,11,7.34933853149414
8,0,12,4.6834020614624
6,0,7,5.7903881072998
6,0,9,2.04897236824036
7,0,11,2.3221869468689
4,0,11,9.92637920379639
5,0,11,4.97611474990845
6,0,10,3.79697561264038
6,0,11,4.81442928314209
4,0,11,2.27070069313049
3,0,10,5.57324838638306
10,0,10,7.37202167510986
9,0,11,6.47299480438232
8,0,9,1.58246624469757
5,0,9,3.24497723579407
10,0,5,0.6031653881073
6,0,8,1.97983956336975
5,0,10,7.34933853149414
4,0,10,4.96284484863281
8,0,10,3.22188901901245
4,0,11,5.10755920410156
5,0,10,4.68555545806885
9,0,6,2.21160650253296
5,0,9,2.27479529380798
3,0,11,2.6444833278656
9,0,10,7.41380643844604
8,0,10,7.26338148117065
7,0,10,7.58867359161377
9,0,10,7.46947717666626
9,0,7,2.65896368026733
6,0,9,5.72594022750854
9,0,8,2.7560019493103
6,0,9,4.33663082122803
9,0,15,8.98252487182617
9,0,15,7.70256280899048
7,0,13,3.63967251777649
8,0,12,2.67104983329773
6,0,14,5.61407804489136
11,0,12,5.11133098602295
8,0,12,5.3973274230957
9,0,12,2.36530447006226
9,0,15,7.01949262619019
10,0,12,4.52676630020142
10,0,13,9.6241340637207
12,0,12,7.09146690368652
12,0,12,4.54959058761597
11,0,13,5.52016973495483
8,0,14,2.522545337677
7,0,15,10.5570611953735
7,0,15,7.69930696487427
11,0,12,6.02684783935547
6,0,16,5.0417628288269
9,0,15,5.01036500930786
12,0,9,3.98089170455933
8,0,12,3.77847361564636
10,0,12,4.49126243591309
8,0,10,0.229666829109192
11,0,12,6.17038202285767
11,0,13,12.2488975524902
12,0,12,3.98089170455933
14,0,7,0.444792360067368
8,0,13,4.43174934387207
10,0,12,3.06222438812256
11,0,12,2.50779938697815
10,0,12,3.10703754425049
10,0,13,6.63481950759888
9,0,12,6.02513360977173
10,0,12,5.69696235656738
11,0,12,12.3120365142822
7,0,15,3.89012217521667
10,0,12,2.7560019493103
12,0,12,5.1751594543457
12,0,10,2.70529413223267
8,0,16,4.18451309204102
11,0,13,3.93521523475647
11,0,12,4.38263320922852
10,0,13,10.8990879058838
10,0,12,7.39619207382202
9,0,15,6.43067121505737
7,0,10,14.0916519165039
8,0,15,6.82438564300537
8,0,14,3.60533595085144
12,0,12,5.69279718399048
9,0,12,2.41150164604187
13,0,11,5.35889291763306
11,0,12,0.425811260938644
11,0,12,3.06222438812256
11,0,12,2.45669317245483
10,0,12,6.73689365386963
8,0,15,12.6697454452515
3,0,15,2.4126615524292
8,0,12,2.57350564002991
10,0,14,9.83442115783691
6,0,14,0.614414155483246
11,0,12,6.61602401733398
10,0,14,15.1273889541626
10,0,12,9.39270305633545
12,0,12,4.96080350875854
12,0,12,4.89328575134277
10,0,12,2.21160650253296
12,0,12,3.36844682693481
11,0,12,5.52718830108643
12,0,12,7.54562711715698
8,0,12,5.13287115097046
7,0,16,9.3668041229248
6,0,16,5.9323091506958
12,0,12,3.79455208778381
10,0,13,3.89964914321899
10,0,12,8.57422828674316
11,0,13,6.27756023406982
10,0,14,3.67466926574707
11,0,12,1.19613647460938
5,0,12,3.06222438812256
8,0,14,5.71249055862427
12,0,12,6.79240846633911
11,0,13,3.11615800857544
10,0,12,7.5636944770813
10,0,12,3.84965348243713
12,0,12,5.37252473831177
11,0,13,3.0547251701355
11,0,13,9.59033012390137
8,0,15,12.3959856033325
9,0,13,5.92504835128784
12,0,12,4.94850015640259
11,0,12,3.91964721679688
10,0,13,3.06222438812256
3,0,15,3.2685215473175
8,0,12,11.1541891098022
11,0,12,2.98566889762878
10,0,12,6.10301303863525
7,0,12,4.14496326446533
10,0,10,6.36942672729492
6,0,13,2.98906540870667
9,0,15,6.27292013168335
6,0,16,5.36749458312988
10,0,12,4.37117528915405
10,0,12,4.40960311889648
12,0,11,4.06935596466064
10,0,11,3.96026539802551
7,0,16,6.73689365386963
7,0,14,0.962149083614349
8,0,12,6.53274536132812
10,0,14,5.50281715393066
9,0,10,2.75137233734131
16,0,8,2.86402344703674
8,0,15,6.55504560470581
9,0,15,4.77707004547119
9,0,15,4.96318960189819
9,0,15,6.12444877624512
8,0,15,6.70822620391846
8,0,15,6.09382677078247
5,0,14,8.91719722747803
7,0,15,5.25887584686279
8,0,15,3.02199077606201
12,0,10,3.82165598869324
13,0,10,5.51200389862061
8,0,15,5.51200389862061
10,0,12,3.10703754425049
7,0,12,8.08302879333496
9,0,9,21.2314224243164
9,0,14,5.81822633743286
7,0,14,4.93071460723877
9,0,15,4.41363477706909
8,0,15,7.417320728302
10,0,12,3.67466926574707
8,0,15,5.81822633743286
11,0,12,3.22355127334595
13,0,9,1.62117767333984
6,0,12,1.01585757732391
12,0,9,6.37963438034058
12,0,12,3.58504319190979
11,0,11,2.7560019493103
10,0,14,0.772988677024841
9,0,12,2.13739156723022
11,0,11,3.55218029022217
11,0,12,4.3051586151123
10,0,10,3.57467818260193
6,0,16,10.1280641555786
8,0,15,4.44460010528564
12,0,12,4.74644804000854
10,0,14,5.9158763885498
10,0,14,5.31062173843384
9,0,15,8.69844913482666
9,0,15,15.3111219406128
11,0,12,2.81004118919373
8,0,15,8.02232933044434
7,0,15,7.87232542037964
7,0,15,12.9488344192505
9,0,15,3.5276825428009
9,0,14,7.17008638381958
9,0,15,8.35987281799316
9,0,15,7.1113429069519
8,0,15,11.184760093689
9,0,15,8.57422828674316
7,0,14,2.99737739562988
8,0,14,9.3178653717041
11,0,10,6.24453592300415
7,0,13,2.12314224243164
3,0,14,2.39452123641968
9,0,15,7.14328241348267
8,0,15,5.90282249450684
7,0,15,7.73614597320557
11,0,13,3.65126371383667
6,0,12,2.66503214836121
9,0,12,32.4973983764648
12,0,12,8.42111682891846
7,0,13,6.08842277526855
10,0,14,1.55960500240326
12,0,12,6.03258228302002
12,0,12,5.87947082519531
7,0,16,8.72733974456787
7,0,12,2.7560019493103
9,0,14,11.7777862548828
11,0,12,7.66296052932739
9,0,15,6.87701606750488
9,0,14,7.04311609268188
8,0,12,5.85425233840942
11,0,12,0.911219835281372
11,0,12,1.63318634033203
8,0,15,9.01655006408691
8,0,12,2.7014274597168
9,0,12,7.92681217193604
10,0,12,5.81822633743286
9,0,14,8.27198314666748
13,0,9,6.76912784576416
9,0,12,8.29352474212646
13,0,9,7.20523405075073
10,0,12,6.42458724975586
11,0,12,7.28312826156616
8,0,14,5.06850957870483
9,0,12,8.36981201171875
10,0,12,7.23250579833984
10,0,12,5.17532777786255
5,0,12,4.10824728012085
9,0,13,4.28711414337158
7,0,14,8.71605777740479
6,0,14,6.73689365386963
8,0,12,4.17393636703491
13,0,10,3.44500255584717
10,0,13,9.18667316436768
10,0,12,7.51912546157837
10,0,12,3.01154923439026
11,0,12,4.14496326446533
9,0,13,16.0035839080811
10,0,8,3.09445834159851
9,0,14,11.0240077972412
7,0,11,1.81155478954315
8,0,14,7.6555609703064
11,0,12,6.43067121505737
9,0,12,4.07275867462158
7,0,12,1.90350687503815
11,0,12,6.05040550231934
8,0,12,2.62656784057617
10,0,12,3.79132533073425
11,0,12,5.09240770339966
7,0,13,7.30657434463501
3,0,15,4.48551177978516
8,0,14,12.2838945388794
4,0,12,2.98566889762878
9,0,14,15.3111219406128
7,0,12,1.21565055847168
8,0,12,4.39675092697144
9,0,13,3.55218029022217
9,0,13,6.18639707565308
7,0,12,2.56241297721863
9,0,10,2.59715485572815
9,0,10,4.64437389373779
6,0,12,2.57871532440186
8,0,13,4.20622539520264
11,0,11,4.59333658218384
6,0,12,1.59235668182373
10,0,12,2.74081969261169
7,0,13,4.44022560119629
9,0,12,1.69399642944336
8,0,14,6.36942672729492
5,0,12,1.92009747028351
9,0,14,7.26243782043457
5,0,12,3.67466926574707
10,0,12,3.67466926574707
9,0,13,3.82165598869324
9,0,14,7.6555609703064
8,0,14,9.67085742950439
11,0,12,6.72098588943481
8,0,14,7.10095977783203
9,0,14,10.7956390380859
9,0,14,9.27416515350342
8,0,12,4.07833433151245
10,0,12,5.81822633743286
7,0,14,7.13498306274414
10,0,12,3.89964914321899
8,0,14,8.84642601013184
11,0,12,4.28711414337158
9,0,14,20.9981098175049
9,0,14,6.63029050827026
3,0,15,3.98089170455933
6,0,12,2.69510293006897
8,0,14,7.6555609703064
10,0,12,6.84884595870972
11,0,12,5.57324838638306
9,0,12,0.668706238269806
11,0,12,5.25313568115234
8,0,14,8.08205223083496
9,0,12,3.34580779075623
10,0,12,10.1481027603149
10,0,12,7.34933853149414
12,0,7,3.06222438812256
11,0,12,2.92922019958496
8,0,12,4.15884208679199
11,0,12,7.12995529174805
7,0,14,5.3895149230957
7,0,12,1.0919017791748
9,0,14,4.59333658218384
10,0,12,5.0526704788208
14,0,7,3.14508962631226
10,0,9,4.63914918899536
7,0,14,6.12444877624512
8,0,13,30.8621711730957
7,0,14,9.18667316436768
7,0,15,10.3131914138794
8,0,13,6.73689365386963
7,0,13,7.6963906288147
6,0,14,16.9718265533447
8,0,13,6.82438564300537
8,0,12,4.50666999816895
7,0,15,4.18784952163696
11,0,12,3.17564010620117
11,0,12,5.20578145980835
11,0,12,2.19635415077209
9,0,13,4.38235759735107
8,0,14,4.59333658218384
11,0,12,4.59333658218384
12,0,10,6.43067121505737
6,0,12,3.91563129425049
12,0,9,3.06222438812256
6,0,14,5.83624219894409
9,0,10,7.34933853149414
7,0,14,8.75796222686768
9,0,14,10.7956390380859
13,0,10,5.7903881072998
15,0,8,2.3885350227356
6,0,15,2.91256999969482
